Temperature - (Celsius), Year, Statistics, Country, ISO3
24.9034, 1901, Jan Average, Malaysia, MYS
24.6155, 1901, Feb Average, Malaysia, MYS
25.3411, 1901, Mar Average, Malaysia, MYS
25.6059, 1901, Apr Average, Malaysia, MYS
26.0758, 1901, May Average, Malaysia, MYS
25.4556, 1901, Jun Average, Malaysia, MYS
25.4768, 1901, Jul Average, Malaysia, MYS
24.9679, 1901, Aug Average, Malaysia, MYS
24.9621, 1901, Sep Average, Malaysia, MYS
25.1001, 1901, Oct Average, Malaysia, MYS
25.1269, 1901, Nov Average, Malaysia, MYS
24.5653, 1901, Dec Average, Malaysia, MYS
24.4005, 1902, Jan Average, Malaysia, MYS
23.5377, 1902, Feb Average, Malaysia, MYS
25.1324, 1902, Mar Average, Malaysia, MYS
25.475, 1902, Apr Average, Malaysia, MYS
26.0459, 1902, May Average, Malaysia, MYS
25.6921, 1902, Jun Average, Malaysia, MYS
25.1599, 1902, Jul Average, Malaysia, MYS
25.1106, 1902, Aug Average, Malaysia, MYS
24.8136, 1902, Sep Average, Malaysia, MYS
25.1903, 1902, Oct Average, Malaysia, MYS
25.0603, 1902, Nov Average, Malaysia, MYS
25.258, 1902, Dec Average, Malaysia, MYS
25.0621, 1903, Jan Average, Malaysia, MYS
24.2338, 1903, Feb Average, Malaysia, MYS
25.3352, 1903, Mar Average, Malaysia, MYS
25.5347, 1903, Apr Average, Malaysia, MYS
26.1069, 1903, May Average, Malaysia, MYS
25.1574, 1903, Jun Average, Malaysia, MYS
24.8524, 1903, Jul Average, Malaysia, MYS
24.9061, 1903, Aug Average, Malaysia, MYS
24.5467, 1903, Sep Average, Malaysia, MYS
24.468, 1903, Oct Average, Malaysia, MYS
24.4032, 1903, Nov Average, Malaysia, MYS
23.3315, 1903, Dec Average, Malaysia, MYS
23.438, 1904, Jan Average, Malaysia, MYS
23.4354, 1904, Feb Average, Malaysia, MYS
24.8897, 1904, Mar Average, Malaysia, MYS
24.4685, 1904, Apr Average, Malaysia, MYS
25.3288, 1904, May Average, Malaysia, MYS
25.2896, 1904, Jun Average, Malaysia, MYS
25.1535, 1904, Jul Average, Malaysia, MYS
24.6381, 1904, Aug Average, Malaysia, MYS
25.2006, 1904, Sep Average, Malaysia, MYS
24.4945, 1904, Oct Average, Malaysia, MYS
24.3138, 1904, Nov Average, Malaysia, MYS
23.808, 1904, Dec Average, Malaysia, MYS
24.7017, 1905, Jan Average, Malaysia, MYS
24.5438, 1905, Feb Average, Malaysia, MYS
25.2714, 1905, Mar Average, Malaysia, MYS
25.5735, 1905, Apr Average, Malaysia, MYS
25.7888, 1905, May Average, Malaysia, MYS
25.3505, 1905, Jun Average, Malaysia, MYS
24.8647, 1905, Jul Average, Malaysia, MYS
24.9737, 1905, Aug Average, Malaysia, MYS
24.7327, 1905, Sep Average, Malaysia, MYS
24.9718, 1905, Oct Average, Malaysia, MYS
24.7825, 1905, Nov Average, Malaysia, MYS
25.6242, 1905, Dec Average, Malaysia, MYS
25.2411, 1906, Jan Average, Malaysia, MYS
25.3799, 1906, Feb Average, Malaysia, MYS
25.3325, 1906, Mar Average, Malaysia, MYS
26.1972, 1906, Apr Average, Malaysia, MYS
26.3926, 1906, May Average, Malaysia, MYS
25.3592, 1906, Jun Average, Malaysia, MYS
25.1032, 1906, Jul Average, Malaysia, MYS
25.0705, 1906, Aug Average, Malaysia, MYS
24.8165, 1906, Sep Average, Malaysia, MYS
24.4926, 1906, Oct Average, Malaysia, MYS
24.4256, 1906, Nov Average, Malaysia, MYS
24.5003, 1906, Dec Average, Malaysia, MYS
24.112, 1907, Jan Average, Malaysia, MYS
24.2523, 1907, Feb Average, Malaysia, MYS
24.4167, 1907, Mar Average, Malaysia, MYS
25.0092, 1907, Apr Average, Malaysia, MYS
25.4545, 1907, May Average, Malaysia, MYS
25.0658, 1907, Jun Average, Malaysia, MYS
24.7092, 1907, Jul Average, Malaysia, MYS
24.499, 1907, Aug Average, Malaysia, MYS
24.9498, 1907, Sep Average, Malaysia, MYS
24.7252, 1907, Oct Average, Malaysia, MYS
24.8922, 1907, Nov Average, Malaysia, MYS
